num,name,dates,place,count
60,I Фестиваль национальных видов спорта и игр государств-участников СНГ ,август,г. Ульяновск,1200
61,Чемпионат мира по биатлону (дисциплина – лыжероллеры),август,г. Чайковский,300
62,Кубок мира по художественной гимнастике среди женщин и юниорок,август,г. Казань,400
63,Кубок мира по хоккею среди юниоров до 20 лет,август,г. Екатеринбург, г. В.Пышма,300
64,Чемпионат мира по рыболовному спорту (дисциплина – ловля спиннингом с лодок),август-сентябрь,г. Конаково,80
65,Чемпионат мира по стендовой стрельбе,август-сентябрь,Московская область,1200
66,Этапы Гран-При по прыжкам на лыжах с трамплина среди мужчин и женщин,сентябрь,г. Чайковский,235
67,Первенство Европы по скалолазанию (дисциплина – лазание на скорость, лазание на трудность) среди юниоров и юниорок 18-19 лет и среди юношей и девушек 14-15 лет и 16-17 лет,сентябрь,г. Пермь,180
68,Международные соревнования «Кубок Золотова» по спортивной акробатике среди мужчин и женщин, юниоров, юниорок, юношей и девушек ,сентябрь,г. Великий Новгород,300
69,Международные соревнования «7th International Russian Open» по тхэквондо среди мужчин и женщин,сентябрь,г. Москва,1200
70,Чемпионат мира по ушу,сентябрь-октябрь,г. Казань,400
71,Международные соревнования «Кубок Кремля» по современному пятиборью ,октябрь,г. Москва,150
72,Международные соревнования «Кубок Кремля» по теннису среди мужчин и женщин,октябрь,г. Москва,175
73,Этап Гран-При «Кубок Ростелекома» по фигурному катанию на коньках среди мужчин и женщин ,октябрь,г. Москва,104
74,Чемпионат Европы по акробатическому рок-н-роллу (дисциплина – формейшн-микст) среди мужчин и женщин,ноябрь,г. Москва,1000
75,Чемпионат мира по самбо ,ноябрь,г. Сочи,600
76,Этап Кубка мира по фехтованию (дисциплина – сабля) среди юниоров и юниорок,ноябрь,г. Сочи,400
77,Международные соревнования «Кубок Первого канала» по хоккею,декабрь,г. Москва,170
